,Name,Ticker,Price,Sector,MarketCap,PE,ROE,ROA
AACQU,AACQU,Artius Acquisition Inc.,,,,,,
ABEO,ABEO,Abeona Therapeutics Inc.,,,,,,
ABIO,ABIO,"ARCA biopharma, Inc.",,,,,,
ACAM,ACAM,Acamar Partners Acquisition Corp.,,,,,,
ACER,ACER,Acer Therapeutics Inc.,,,,,,
ACNB,ACNB Corporation,ACNB,22.64,Financial Services,196286752,10.098126,0.07906,0.008640001
ADIL,ADIL,"Adial Pharmaceuticals, Inc",,,,,,
ADTX,ADTX,"ADiTx Therapeutics, Inc.",,,,,,
ADXN,ADXN,Addex Therapeutics Ltd,,,,,,
AEHR,AEHR,Aehr Test Systems,,,,,,
AEMD,AEMD,"Aethlon Medical, Inc.",,,,,,
AESE,AESE,"Allied Esports Entertainment, Inc.",,,,,,
AEYE,AEYE,"AudioEye, Inc.",,,,,,
AGBA,AGBA,AGBA Acquisition Limited,,,,,,
AGEN,AGEN,Agenus Inc.,,,,,,
AGRX,AGRX,"Agile Therapeutics, Inc.",,,,,,
AHCO,AHCO,AdaptHealth Corp.,,,,,,
AHPI,AHPI,"Allied Healthcare Products, Inc.",,,,,,
AIRG,AIRG,"Airgain, Inc.",,,,,,
AKER,AKER,Akers Biosciences Inc.,,,,,,
AKTS,AKTS,"Akoustis Technologies, Inc.",,,,,,
AKTX,AKTX,Akari Therapeutics Plc,,,,,,
ALAC,ALAC,Alberton Acquisition Corporation,,,,,,
ALBO,ALBO,"Albireo Pharma, Inc.",,,,,,
ALDX,ALDX,"Aldeyra Therapeutics, Inc.",,,,,,
ALRN,ALRN,"Aileron Therapeutics, Inc.",,,,,,
ALRS,Alerus Financial Corporation,ALRS,19.79,Financial Services,338521824,11.432699,0.114429995,0.01205
ALTA,Altabancorp,ALTA,20.55,Financial Services,386093376,8.74468,0.13903,0.01878
ALYA,ALYA,Alithya Group inc.,,,,,,
AMCI,AMCI,AMCI Acquisition Corp.,,,,,,
AMEH,"Apollo Medical Holdings, Inc.",AMEH,16.64,Healthcare,592407296,33.213573,0.06161,0.04224
AMHC,AMHC,Amplitude Healthcare Acquisition Corporation,,,,,,
AMRH,AMRH,"Ameri Holdings, Inc.",,,,,,
ANCN,ANCN,Anchiano Therapeutics Ltd.,,,,,,
ANDA,ANDA,Andina Acquisition Corp. III,,,,,,
ANIX,ANIX,"Anixa Biosciences, Inc.",,,,,,
APDN,APDN,"Applied DNA Sciences, Inc.",,,,,,
APOP,APOP,Cellect Biotechnology Ltd.,,,,,,
APPS,"Digital Turbine, Inc.",APPS,12.19,Technology,1064528256,78.14102,0.25094,0.061880004
APTO,APTO,"Aptose Biosciences, Inc.",,,,,,
APVO,APVO,Aptevo Therapeutics Inc.,,,,,,
APXT,APXT,Apex Technology Acquisition Corporation,,,,,,
AQB,AQB,"AquaBounty Technologies, Inc.",,,,,,
ARDS,ARDS,Aridis Pharmaceuticals Inc.,,,,,,
ARPO,ARPO,"Aerpio Pharmaceuticals, Inc.",,,,,,
ARTL,ARTL,"Artelo Biosciences, Inc.",,,,,,
ARTW,ARTW,Art's,,,,,,
ARYBU,ARYBU,ARYA Sciences Acquisition Corp II,,,,,,
ASTC,ASTC,Astrotech Corporation,,,,,,
ASUR,Asure Software Inc,ASUR,6.03,Technology,94944160,3.0271087,-0.3421,-0.03282
ATEX,ATEX,Anterix Inc.,,,,,,
ATHE,ATHE,Alterity Therapeutics Limited,,,,,,
ATHX,ATHX,"Athersys, Inc.",,,,,,
ATIF,ATIF Holdings Limited,ATIF,1.78,Financial Services,83686168,148.33333,0.06495,0.05218
ATLO,Ames National Corporation,ATLO,19.05,Financial Services,173788384,10.648406,0.09016,0.0101
ATOM,ATOM,Atomera Incorporated,,,,,,
ATOS,ATOS,"Atossa Therapeutics, Inc.",,,,,,
ATRS,"Antares Pharma, Inc.",ATRS,2.73,Healthcare,451978816,390.0,0.02397,0.024419999
ATXI,ATXI,"Avenue Therapeutics, Inc.",,,,,,
AUTO,AUTO,"AutoWeb, Inc.",,,,,,
AVCO,AVCO,Avalon GloboCare Corp.,,,,,,
AVEO,AVEO,"AVEO Pharmaceuticals, Inc.",,,,,,
AVXL,AVXL,Anavex Life Sciences Corp.,,,,,,
AWH,AWH,Aspira Women's Health Inc.,,,,,,
AXDX,AXDX,"Accelerate Diagnostics, Inc.",,,,,,
AXGN,AXGN,"Axogen, Inc.",,,,,,
