,Ticker,Name
AA,AA,Alcoa Corporation
AAN,AAN,"Aaron's, Inc."
ABBV,ABBV,AbbVie Inc.
ABM,ABM,ABM Industries Incorporated
ABT,ABT,Abbott Laboratories
AC,AC,"Associated Capital Group, Inc."
ACEL,ACEL,"Accel Entertainment, Inc. "
ACI,ACI,"Albertsons Companies, Inc."
ACM,ACM,AECOM
ACP,ACP,Aberdeen Income Credit Strategies Fund
ACV,ACV,AllianzGI Diversified Income & Convertible Fund
ADCT,ADCT,ADC Therapeutics SA
ADNT,ADNT,Adient plc Ordinary
ADSW,ADSW,"Advanced Disposal Services, Inc."
ADT,ADT,ADT Inc.
AEB,AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)
AEFC,AEFC,Aegon Funding Company LLC
AEO,AEO,"American Eagle Outfitters, Inc."
AFB,AFB,AllianceBernstein National Municipal Income Fund Inc
AFC,AFC,Allied Capital Corporation Allied Capital Corporation
AFI,AFI,"Armstrong Flooring, Inc."
AG,AG,First Majestic Silver Corp. Ordinary
AGD,AGD,Aberdeen Global Dynamic Dividend Fund
AGRO,AGRO,Adecoagro S.A.
AGS,AGS,"PlayAGS, Inc."
AGX,AGX,"Argan, Inc."
AHT,AHT,Ashford Hospitality Trust Inc
AI,AI,Arlington Asset Investment Corp
AIO,AIO,AllianzGI Artificial Intelligence & Technology Opportunities Fund
ALC,ALC,Alcon Inc. Ordinary
ALEX,ALEX,"Alexander & Baldwin, Inc."
ALTG,ALTG,Alta Equipment Group Inc.
ALUS,ALUS,Alussa Energy Acquisition Corp.
AM,AM,Antero Midstream Corporation
AMBC,AMBC,"Ambac Financial Group, Inc."
AMC,AMC,"AMC Entertainment Holdings, Inc."
AMCR,AMCR,Amcor plc Ordinary
AMPY,AMPY,Amplify Energy Corp.
AMRX,AMRX,"Amneal Pharmaceuticals, Inc."
ANF,ANF,Abercrombie & Fitch Company
ANH,ANH,Anworth Mortgage Asset Corporation
AOD,AOD,Aberdeen Total Dynamic Dividend Fund
AP,AP,Ampco-Pittsburgh Corporation
APG,APG,APi Group Corporation
APO,APO,"Apollo Global Management, Inc."
APRN,APRN,"Blue Apron Holdings, Inc."
APTS,APTS,
AR,AR,Antero Resources Corporation
ARA,ARA,"American Renal Associates Holdings, Inc"
ARD,ARD,Ardagh Group S.A.
ARDC,ARDC,"Ares Dynamic Credit Allocation Fund, Inc."
ARGD,ARGD,"Argo Group International Holdings, Ltd."
ARL,ARL,"American Realty Investors, Inc."
ARLO,ARLO,"Arlo Technologies, Inc."
ARNC,ARNC,Arconic Corporation
ARR,ARR,"ARMOUR Residential REIT, Inc."
ARW,ARW,"Arrow Electronics, Inc."
ASC,ASC,Ardmore Shipping Corporation
ASH,ASH,Ashland Global Holdings Inc.
ASPN,ASPN,"Aspen Aerogels, Inc."
AT,AT,Atlantic Power Corporation Ordinary
ATCO,ATCO,Atlas Corp.
ATEN,ATEN,A
ATTO,ATTO,Atento S.A. Ordinary
AU,AU,AngloGold Ashanti Limited
AVK,AVK,Advent Convertible and Income Fund
AVLR,AVLR,"Avalara, Inc."
AVNS,AVNS,"Avanos Medical, Inc."
AVNT,AVNT,Avient Corporation
AVTR,AVTR,"Avantor, Inc."
AVYA,AVYA,Avaya Holdings Corp.
AWF,AWF,Alliancebernstein Global High Income Fund
AWI,AWI,Armstrong World Industries Inc
AWP,AWP,Aberdeen Global Premier Properties Fund
AXL,AXL,"American Axle & Manufacturing Holdings, Inc."
AXR,AXR,AMREP Corporation
AXS,AXS,Axis Capital Holdings Limited
AZEK,AZEK,The AZEK Company Inc.
AZO,AZO,"AutoZone, Inc."
AZRE,AZRE,Azure Power Global Limited Equity
AZUL,AZUL,Azul S.A. American
BA,BA,Boeing Company (The)
BAK,BAK,Braskem SA ADR
BANC,BANC,"Banc of California, Inc."
BB,BB,BlackBerry Limited
BBAR,BBAR,Banco BBVA Argentina S.A. ADS
BBDC,BBDC,"Barings BDC, Inc."
BBN,BBN,BlackRock Taxable Municipal Bond Trust
BBU,BBU,Brookfield Business Partners L.P. Limited Partnership
BBW,BBW,"Build-A-Bear Workshop, Inc."
BBX,BBX,BBX Capital Corporation
BC,BC,Brunswick Corporation
BCSF,BCSF,"Bain Capital Specialty Finance, Inc."
BCX,BCX,BlackRock Resources
BDC,BDC,Belden Inc
BE,BE,Bloom Energy Corporation
BEP,BEP,Brookfield Renewable Partners L.P. 
BEST,BEST,BEST Inc. American
BFK,BFK,BlackRock Municipal Income Trust
BG,BG,Bunge Limited Bunge Limited
BGB,BGB,Blackstone / GSO Strategic Credit Fund
BGG,BGG,Briggs & Stratton Corporation
BGH,BGH,Barings Global Short Duration High Yield Fund
BGIO,BGIO,BlackRock
BGT,BGT,BlackRock Floating Rate Income Trust
BGX,BGX,Blackstone GSO Long Short Credit Income Fund
BH,BH,Biglari Holdings Inc.
BHC,BHC,Bausch Health Companies Inc.
BHK,BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust
BHR,BHR,Braemar Hotels & Resorts Inc.
BHVN,BHVN,Biohaven Pharmaceutical Holding Company Ltd.
BILL,BILL,"Bill.com Holdings, Inc."
BIPC,BIPC,Brookfield Infrastructure Partners LP
BIT,BIT,BlackRock Multi-Sector Income Trust
BITA,BITA,Bitauto Holdings Limited American
BJ,BJ,"BJ's Wholesale Club Holdings, Inc."
BKN,BKN,BlackRock Investment Quality Municipal Trust Inc. (The)
BKR,BKR,Baker Hughes Company
BLK,BLK,"BlackRock, Inc."
BLW,BLW,Blackrock Limited Duration Income Trust
BMEZ,BMEZ,BlackRock Health Sciences Trust II
BMRG,BMRG,B. Riley Principal Merger Corp. II
BNED,BNED,"Barnes & Noble Education, Inc"
BORR,BORR,Borr Drilling Limited
BOX,BOX,"Box, Inc."
BP,BP,BP p.l.c.
BRBR,BRBR,"BellRing Brands, Inc."
BRFS,BRFS,BRF S.A.
BRMK,BRMK,Broadmark Realty Capital Inc.
BSA,BSA,BrightSphere Investment Group Inc.
BSD,BSD,BlackRock Strategic Municipal Trust Inc. (The)
BSL,BSL,Blackstone GSO Senior Floating Rate Term Fund
