,Ticker,Name
0,A,"Agilent Technologies, Inc."
1,AA,Alcoa Corporation
5,AAN,"Aaron's, Inc."
6,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I
7,AAT,"American Assets Trust, Inc."
9,AB,AllianceBernstein Holding L.P.
10,ABB,ABB Ltd
11,ABBV,AbbVie Inc.
12,ABC,AmerisourceBergen Corporation
14,ABEV,Ambev S.A. American
15,ABG,Asbury Automotive Group Inc
16,ABM,ABM Industries Incorporated
17,ABR,Arbor Realty Trust
21,ABT,Abbott Laboratories
22,AC,"Associated Capital Group, Inc."
23,ACA,"Arcosa, Inc."
24,ACB,Aurora Cannabis Inc.
25,ACC,American Campus Communities Inc
26,ACCO,Acco Brands Corporation
27,ACEL,"Accel Entertainment, Inc. "
30,ACH,Aluminum Corporation of China Limited American
31,ACI,"Albertsons Companies, Inc."
33,ACM,AECOM
34,ACN,Accenture plc
35,ACP,Aberdeen Income Credit Strategies Fund
36,ACRE,Ares Commercial Real Estate Corporation
40,ACV,AllianzGI Diversified Income & Convertible Fund
44,ADC,Agree Realty Corporation
45,ADCT,ADC Therapeutics SA
46,ADM,Archer-Daniels-Midland Company
48,ADNT,Adient plc Ordinary
49,ADS,Alliance Data Systems Corporation
50,ADSW,"Advanced Disposal Services, Inc."
51,ADT,ADT Inc.
52,ADX,Adams Diversified Equity Fund Inc.
54,AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)
55,AEE,Ameren Corporation
57,AEFC,Aegon Funding Company LLC
58,AEG,AEGON N.V.
59,AEL,American Equity Investment Life Holding Company
62,AEM,Agnico Eagle Mines Limited
63,AEO,"American Eagle Outfitters, Inc."
64,AEP,"American Electric Power Company, Inc."
66,AER,AerCap Holdings N.V. Ordinary
67,AES,The AES Corporation
69,AFB,AllianceBernstein National Municipal Income Fund Inc
70,AFC,Allied Capital Corporation Allied Capital Corporation
71,AFG,"American Financial Group, Inc."
76,AFI,"Armstrong Flooring, Inc."
79,AFL,AFLAC Incorporated
83,AFT,Apollo Senior Floating Rate Fund Inc.
85,AG,First Majestic Silver Corp. Ordinary
86,AGCO,AGCO Corporation
87,AGD,Aberdeen Global Dynamic Dividend Fund
92,AGI,Alamos Gold Inc.
93,AGM,Federal Agricultural Mortgage Corporation
99,AGO,Assured Guaranty Ltd.
104,AGR,"Avangrid, Inc."
105,AGRO,Adecoagro S.A.
106,AGS,"PlayAGS, Inc."
108,AGX,"Argan, Inc."
110,AHC,A.H. Belo Corporation (TX)
111,AHH,"Armada Hoffler Properties, Inc."
116,AHT,Ashford Hospitality Trust Inc
122,AI,Arlington Asset Investment Corp
127,AIF,Apollo Tactical Income Fund Inc.
128,AIG,"American International Group, Inc. New"
133,AIN,Albany International Corporation
135,AIO,AllianzGI Artificial Intelligence & Technology Opportunities Fund
136,AIR,AAR Corp.
138,AIT,"Applied Industrial Technologies, Inc."
139,AIV,Apartment Investment and Management Company
141,AIZ,"Assurant, Inc."
143,AJG,Arthur J. Gallagher & Co.
144,AJRD,"Aerojet Rocketdyne Holdings, Inc."
145,AJX,Great Ajax Corp.
149,AKR,Acadia Realty Trust
150,AL,Air Lease Corporation
152,ALB,Albemarle Corporation
153,ALC,Alcon Inc. Ordinary
154,ALE,"Allete, Inc."
155,ALEX,"Alexander & Baldwin, Inc."
157,ALG,"Alamo Group, Inc."
161,ALK,"Alaska Air Group, Inc."
162,ALL,Allstate Corporation (The)
167,ALLE,Allegion plc Ordinary
168,ALLY,Ally Financial Inc.
